Time (s)	Argon Flow (sccm)	H2 Flow (sccm)	H2 Low Flow (sccm)	1% CH4 Flow (sccm)
0.288	5.88	6.77	2.61	-0.01	302
2.294	985.58	-3.42	2.61	-0.01	302
4.323	985.58	-3.42	-1.47	-0.01	301
6.326	985.58	-3.42	2.61	-0.01	301
8.334	985.58	6.77	2.61	-0.01	301
10.344	985.58	-3.42	2.61	-0.01	301
12.364	995.79	6.77	-1.47	-0.01	301
14.374	985.58	6.77	-1.47	-0.01	301
16.384	985.58	-3.42	-1.47	-0.01	300
18.394	985.58	6.77	2.61	-0.01	300
20.405	985.58	-3.42	2.61	-0.01	300
22.424	985.58	6.77	-1.47	-0.01	300
24.435	985.58	6.77	2.61	-0.01	300
26.444	985.58	-3.42	2.61	-0.01	300
28.455	985.58	6.77	-1.47	-0.01	299
30.474	995.79	-3.42	2.61	-0.01	299
32.484	995.79	6.77	-1.47	-0.01	299
34.494	985.58	-3.42	-1.47	-0.01	299
36.504	985.58	6.77	2.61	-0.01	299
38.524	995.79	6.77	2.61	-0.01	299
40.534	985.58	-3.42	-1.47	-0.01	299
42.545	995.79	-3.42	2.61	-0.01	298
44.554	985.58	6.77	2.61	-0.01	298
46.574	985.58	6.77	-1.47	-0.01	298
48.584	995.79	6.77	2.61	-0.01	298
50.594	985.58	6.77	-1.47	-0.01	298
52.604	985.58	6.77	2.61	0.09	298
54.625	995.79	-3.42	2.61	-0.01	298
56.634	995.79	-3.42	-1.47	-0.01	298
58.644	985.58	-3.42	-1.47	-0.01	298
60.654	495.73	-3.42	2.61	-0.01	299
62.674	495.73	6.77	-1.47	-0.01	300
64.684	495.73	-3.42	2.61	-0.01	301
66.694	495.73	6.77	2.61	0.09	302
68.703	495.73	6.77	-1.47	-0.01	303
70.723	495.73	6.77	2.61	-0.01	304
72.735	495.73	-3.42	2.61	-0.01	306
74.743	495.73	6.77	-1.47	-0.01	307
76.754	505.94	6.77	2.61	-0.01	309
78.763	495.73	6.77	2.61	-0.01	310
80.785	495.73	-3.42	2.61	-0.01	311
82.794	495.73	6.77	2.61	-0.01	312
84.803	495.73	6.77	-1.47	-0.01	313
86.814	495.73	6.77	-1.47	-0.01	314
88.836	495.73	6.77	2.61	-0.01	315
90.843	495.73	6.77	-1.47	-0.01	316
92.853	495.73	-3.42	-1.47	-0.01	317
94.863	495.73	-3.42	2.61	-0.01	317
96.883	495.73	6.77	2.61	-0.01	318
98.894	495.73	-3.42	2.61	-0.01	318
100.917	495.73	6.77	2.61	-0.01	319
102.913	495.73	6.77	2.61	-0.01	319
104.941	495.73	6.77	-1.47	-0.01	319
106.943	495.73	6.77	-1.47	0.09	319
108.953	495.73	6.77	2.61	-0.01	320
110.963	495.73	6.77	2.61	0.09	320
112.983	495.73	-3.42	2.61	-0.01	320
114.993	495.73	6.77	-1.47	-0.01	320
